School,Close Contact,Positive Case,Suspected Case,Total
Alford ES,0,2,0,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,0,0,0,0
Archer HS,9,2,0,11
Baggett ES,0,0,0,0
Baldwin ES,11,1,0,12
Bay Creek MS,0,0,0,0
Beaver Ridge ES,0,0,0,0
Benefield ES,1,0,0,1
Berkeley Lake ES,1,0,0,1
Berkmar HS,0,0,0,0
Berkmar MS,0,0,0,0
Bethesda ES,0,0,0,0
Britt ES,1,0,0,1
Brookwood ES,0,0,0,0
Brookwood HS,14,1,0,15
Buice Center,0,0,0,0
Burnette ES,12,0,1,13
Camp Creek ES,8,0,1,9
Cedar Hill ES,2,0,0,2
Centerville ES,0,0,0,0
Central Gwinnett HS,1,1,0,2
Chattahoochee ES,0,0,0,0
Chesney ES,1,1,0,2
Coleman MS,1,0,0,1
Collins Hill HS,0,0,0,0
Cooper ES,0,0,0,0
Corley ES,0,0,0,0
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,0,0,0,0
Crews MS,0,1,0,1
Dacula ES,3,1,0,4
Dacula HS,1,0,0,1
Dacula MS,0,1,0,1
Discovery HS,0,2,0,2
Duluth HS,24,1,1,26
Duluth MS,4,1,3,8
Duncan Creek ES,13,1,0,14
Dyer ES,0,0,0,0
Ferguson ES,0,0,0,0
Five Forks MS,0,1,0,1
Fort Daniel ES,0,0,0,0
Freeman's Mill ES,0,0,0,0
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,0,0,0,0
Graves ES,0,0,0,0
Grayson ES,0,0,0,0
Grayson HS,1,1,0,2
Gwin Oaks ES,0,0,0,0
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",1,0,0,1
Harbins ES,17,4,0,21
Harmony ES,2,1,1,4
Harris ES,1,0,0,1
Head ES,0,0,0,0
Hopkins ES,2,0,1,3
Hull MS,0,0,0,0
International Transition Center,3,0,0,3
Ivy Creek ES,0,0,1,1
Jackson ES,0,0,0,0
Jenkins ES,0,0,0,0
Jones MS,3,0,0,3
Jordan MS,0,0,0,0
Kanoheda ES,0,0,0,0
Knight ES,1,3,1,5
Lanier HS,0,0,0,0
Lanier MS,0,0,0,0
Lawrenceville ES,0,0,0,0
Level Creek ES,0,0,0,0
Lilburn ES,0,0,0,0
Lilburn MS,4,1,1,6
Lovin ES,1,0,0,1
Magill ES,0,0,0,0
Mason ES,8,1,0,9
Maxwell,0,0,0,0
McClure Health Science HS,1,0,1,2
McConnell MS,7,0,0,7
McKendree ES,1,0,0,1
Meadowcreek ES,2,0,1,3
Meadowcreek HS,17,0,3,20
Mill Creek HS,31,2,0,33
Minor ES,8,0,1,9
Moore MS,0,0,0,0
Mountain Park ES,2,0,0,2
Mountain View HS,0,0,1,1
Mulberry ES,1,0,0,1
Nesbit ES,3,1,0,4
Norcross ES,0,0,2,2
Norcross HS,4,2,4,10
North Gwinnett HS,15,4,1,20
North Gwinnett MS,9,1,0,10
Northbrook MS,0,0,0,0
Norton ES,1,0,0,1
Oakland Meadow School,0,0,0,0
Osborne MS,10,0,0,10
Parkview HS,1,0,4,5
Parsons ES,0,0,0,0
Partee ES,0,0,0,0
Patrick ES,1,0,0,1
Paul Duke STEM HS,7,4,0,11
Peachtree ES,1,0,0,1
Peachtree Ridge HS,0,0,0,0
Pharr ES,0,0,0,0
Phoenix HS,0,0,0,0
Pinckneyville MS,3,0,0,3
Puckett's Mill ES,0,1,0,1
Radloff MS,2,0,0,2
Richards MS,7,3,0,10
Riverside ES,0,0,0,0
Roberts ES,0,0,0,0
Rock Springs ES,2,0,0,2
Rockbridge ES,0,0,0,0
Rosebud ES,1,0,0,1
Shiloh ES,1,0,0,1
Shiloh HS,2,0,0,2
Shiloh MS,1,0,0,1
Simonton ES,0,0,0,0
Simpson ES,0,0,0,0
Snellville MS,0,0,0,0
South Gwinnett HS,0,0,0,0
Starling ES,0,0,0,0
Stripling ES,0,0,1,1
Sugar Hill ES,3,1,0,4
Summerour MS,0,1,0,1
Suwanee ES,0,0,0,0
Sweetwater MS,0,1,0,1
Sycamore ES,1,0,0,1
Taylor ES,2,0,0,2
Trickum MS,1,0,0,1
Trip ES,1,0,0,1
Twin Rivers MS,0,0,0,0
Walnut Grove ES,6,2,0,8
White Oak ES,13,1,0,14
Winn Holt ES,5,2,1,8
Woodward Mill ES,3,0,0,3
