School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,0,0,0,0
Alford ES,0,2,0,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,0,0,0,0
Archer HS,5,1,0,6
Baggett ES,0,0,0,0
Baldwin ES,6,1,0,7
Bay Creek MS,0,0,0,0
Beaver Ridge ES,0,0,0,0
Benefield ES,1,0,1,2
Berkeley Lake ES,17,1,0,18
Berkmar HS,0,0,0,0
Berkmar MS,0,0,1,1
Bethesda ES,0,0,0,0
Britt ES,1,1,0,2
Brookwood ES,0,1,0,1
Brookwood HS,2,0,0,2
Buice Center,0,0,0,0
Burnette ES,12,0,1,13
Camp Creek ES,2,0,0,2
Cedar Hill ES,2,0,0,2
Centerville ES,0,0,0,0
Central Gwinnett HS,1,1,0,2
Chattahoochee ES,1,0,0,1
Chesney ES,1,1,0,2
Coleman MS,1,0,0,1
Collins Hill HS,0,0,0,0
Cooper ES,28,1,1,30
Corley ES,1,0,0,1
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,0,0,0,0
Crews MS,0,1,0,1
Dacula ES,3,0,0,3
Dacula HS,1,0,0,1
Dacula MS,1,1,0,2
Discovery HS,0,2,0,2
Duluth HS,24,1,1,26
Duluth MS,4,2,4,10
Duncan Creek ES,10,1,0,11
Dyer ES,0,0,0,0
Ferguson ES,0,0,0,0
Five Forks MS,1,1,0,2
Fort Daniel ES,0,0,0,0
Freeman's Mill ES,0,0,0,0
GIVE East,0,0,0,0
GIVE West,0,0,1,1
Grace Snell MS,0,0,0,0
Graves ES,0,0,0,0
Grayson ES,0,0,0,0
Grayson HS,1,2,0,3
Gwin Oaks ES,0,0,0,0
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,9,3,0,12
Harmony ES,2,1,1,4
Harris ES,0,0,0,0
Head ES,0,0,0,0
Hopkins ES,2,0,1,3
Hull MS,0,0,0,0
International Transition Center,3,0,0,3
Ivy Creek ES,2,0,0,2
Jackson ES,2,0,0,2
Jenkins ES,0,0,0,0
Jones MS,2,0,0,2
Jordan MS,0,0,0,0
Kanoheda ES,0,0,0,0
Knight ES,8,4,2,14
Lanier HS,11,1,2,14
Lanier MS,0,0,0,0
Lawrenceville ES,0,0,0,0
Level Creek ES,0,0,0,0
Lilburn ES,0,0,0,0
Lilburn MS,0,0,1,1
Lovin ES,1,0,0,1
Magill ES,0,0,0,0
Mason ES,8,1,0,9
Maxwell,0,0,0,0
McClure Health Science HS,0,0,0,0
McConnell MS,6,0,0,6
McKendree ES,1,0,0,1
Meadowcreek ES,2,0,0,2
Meadowcreek HS,17,0,3,20
Mill Creek HS,44,5,0,49
Minor ES,1,0,0,1
Moore MS,0,0,0,0
Mountain Park ES,2,0,0,2
Mountain View HS,0,0,1,1
Mulberry ES,0,0,0,0
Nesbit ES,0,1,0,1
Norcross ES,0,0,2,2
Norcross HS,3,2,4,9
North Gwinnett HS,9,3,1,13
North Gwinnett MS,9,1,0,10
Northbrook MS,11,1,0,12
Norton ES,15,1,0,16
Oakland Meadow School,0,0,0,0
Osborne MS,27,2,0,29
Parkview HS,1,0,4,5
Parsons ES,0,0,0,0
Partee ES,0,0,0,0
Patrick ES,1,0,0,1
Paul Duke STEM HS,1,4,0,5
Peachtree ES,3,0,0,3
Peachtree Ridge HS,0,0,0,0
Pharr ES,0,0,0,0
Phoenix HS,0,0,0,0
Pinckneyville MS,2,0,0,2
Puckett's Mill ES,0,1,0,1
Radloff MS,0,0,0,0
Richards MS,7,4,0,11
Riverside ES,0,0,0,0
Roberts ES,0,0,0,0
Rock Springs ES,1,0,0,1
Rockbridge ES,0,0,0,0
Rosebud ES,1,0,0,1
Shiloh ES,1,0,0,1
Shiloh HS,2,0,0,2
Shiloh MS,1,0,0,1
Simonton ES,0,0,0,0
Simpson ES,0,0,0,0
Snellville MS,0,0,0,0
South Gwinnett HS,1,1,0,2
Starling ES,0,0,0,0
Stripling ES,0,0,1,1
Sugar Hill ES,3,1,0,4
Summerour MS,0,1,0,1
Suwanee ES,0,0,0,0
Sweetwater MS,0,1,0,1
Sycamore ES,1,0,0,1
Taylor ES,2,0,0,2
Trickum MS,1,0,0,1
Trip ES,1,0,0,1
Twin Rivers MS,0,0,0,0
Walnut Grove ES,6,1,0,7
White Oak ES,11,1,0,12
Winn Holt ES,5,1,1,7
Woodward Mill ES,3,0,0,3
