School,Close Contact,Positive Case,Suspected Case,Total
Baldwin ES,5,1,0,6
Benefield ES,0,0,1,1
Berkeley Lake ES,16,1,0,17
Berkmar MS,0,0,1,1
Britt ES,1,1,0,2
Brookwood ES,0,1,0,1
Chattahoochee ES,1,0,0,1
Cooper ES,28,1,1,30
Corley ES,1,0,0,1
Dacula MS,1,0,0,1
Duluth MS,0,1,1,2
Duncan Creek ES,2,0,0,2
Five Forks MS,1,0,0,1
GIVE West,0,0,1,1
Grayson HS,0,2,0,2
Hopkins ES,1,0,0,1
Ivy Creek ES,2,0,0,2
Jackson ES,2,0,0,2
Knight ES,7,1,1,9
Lanier HS,11,1,2,14
McConnell MS,1,0,0,1
Mill Creek HS,13,3,0,16
Northbrook MS,11,1,0,12
Norton ES,14,1,0,15
Osborne MS,23,3,0,26
Peachtree ES,2,0,0,2
Richards MS,0,1,0,1
South Gwinnett HS,1,1,0,2
