School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,0,1,0,1
Alford ES,1,1,0,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,1,0,0,1
Archer HS,5,1,0,6
Baggett ES,0,0,0,0
Baldwin ES,5,1,0,6
Bay Creek MS,0,0,0,0
Beaver Ridge ES,0,0,0,0
Benefield ES,1,0,1,2
Berkeley Lake ES,17,1,0,18
Berkmar HS,0,0,0,0
Berkmar MS,0,0,1,1
Bethesda ES,0,0,0,0
Britt ES,2,1,0,3
Brookwood ES,3,1,0,4
Brookwood HS,3,0,0,3
Buice Center,0,0,0,0
Burnette ES,12,0,1,13
Camp Creek ES,12,0,1,13
Cedar Hill ES,3,0,0,3
Centerville ES,1,0,0,1
Central Gwinnett HS,0,2,0,2
Chattahoochee ES,1,0,0,1
Chesney ES,1,1,0,2
Coleman MS,1,0,0,1
Collins Hill HS,0,0,0,0
Cooper ES,28,1,1,30
Corley ES,2,0,0,2
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,0,0,0,0
Crews MS,11,2,0,13
Dacula ES,1,2,0,3
Dacula HS,1,0,0,1
Dacula MS,1,1,0,2
Discovery HS,3,3,0,6
Duluth HS,24,1,1,26
Duluth MS,3,1,4,8
Duncan Creek ES,7,0,0,7
Dyer ES,0,0,0,0
Ferguson ES,0,0,0,0
Five Forks MS,2,1,0,3
Fort Daniel ES,2,0,0,2
Freeman's Mill ES,0,0,0,0
GIVE East,0,0,0,0
GIVE West,0,0,2,2
Grace Snell MS,0,0,1,1
Graves ES,0,1,0,1
Grayson ES,0,0,0,0
Grayson HS,1,2,0,3
Gwin Oaks ES,0,0,0,0
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,7,1,0,8
Harmony ES,2,0,0,2
Harris ES,0,0,0,0
Head ES,0,0,0,0
Hopkins ES,0,0,0,0
Hull MS,1,0,0,1
International Transition Center,3,0,0,3
Ivy Creek ES,5,0,0,5
Jackson ES,4,0,0,4
Jenkins ES,0,1,0,1
Jones MS,2,0,0,2
Jordan MS,0,0,0,0
Kanoheda ES,0,0,0,0
Knight ES,9,4,3,16
Lanier HS,20,0,2,22
Lanier MS,0,0,0,0
Lawrenceville ES,0,0,0,0
Level Creek ES,0,0,0,0
Lilburn ES,0,0,0,0
Lilburn MS,0,0,1,1
Lovin ES,1,0,0,1
Magill ES,4,1,0,5
Mason ES,8,1,0,9
Maxwell,0,0,0,0
McClure Health Science HS,1,0,1,2
McConnell MS,8,0,0,8
McKendree ES,1,1,0,2
Meadowcreek ES,2,0,0,2
Meadowcreek HS,17,0,2,19
Mill Creek HS,55,6,0,61
Minor ES,0,0,0,0
Moore MS,0,0,0,0
Mountain Park ES,2,0,0,2
Mountain View HS,2,0,1,3
Mulberry ES,0,0,0,0
Nesbit ES,0,0,0,0
Norcross ES,0,0,2,2
Norcross HS,0,0,3,3
North Gwinnett HS,6,3,2,11
North Gwinnett MS,9,1,0,10
Northbrook MS,33,2,1,36
Norton ES,15,1,0,16
Oakland Meadow School,1,0,0,1
Osborne MS,71,4,0,75
Parkview HS,1,0,2,3
Parsons ES,2,1,0,3
Partee ES,0,0,0,0
Patrick ES,4,0,0,4
Paul Duke STEM HS,0,3,0,3
Peachtree ES,13,0,2,15
Peachtree Ridge HS,1,2,0,3
Pharr ES,0,0,0,0
Phoenix HS,0,0,0,0
Pinckneyville MS,2,0,1,3
Puckett's Mill ES,4,1,0,5
Radloff MS,0,0,0,0
Richards MS,5,3,0,8
Riverside ES,0,0,0,0
Roberts ES,0,0,0,0
Rock Springs ES,1,0,0,1
Rockbridge ES,0,0,0,0
Rosebud ES,1,0,0,1
Shiloh ES,0,0,0,0
Shiloh HS,1,0,0,1
Shiloh MS,1,0,0,1
Simonton ES,0,0,0,0
Simpson ES,0,0,0,0
Snellville MS,0,0,0,0
South Gwinnett HS,1,1,0,2
Starling ES,0,0,0,0
Stripling ES,0,0,1,1
Sugar Hill ES,3,0,0,3
Summerour MS,0,1,0,1
Suwanee ES,0,0,0,0
Sweetwater MS,0,0,0,0
Sycamore ES,1,0,0,1
Taylor ES,2,0,0,2
Trickum MS,2,0,0,2
Trip ES,1,0,0,1
Twin Rivers MS,2,0,0,2
Walnut Grove ES,6,1,0,7
White Oak ES,11,1,0,12
Winn Holt ES,14,2,1,17
Woodward Mill ES,3,0,0,3
