School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,2,1,0,3
Alford ES,0,0,0,0
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,11,0,2,13
Archer HS,0,0,0,0
Baggett ES,0,0,0,0
Baldwin ES,0,0,1,1
Bay Creek MS,4,1,3,8
Beaver Ridge ES,1,0,0,1
Benefield ES,0,0,0,0
Berkeley Lake ES,2,0,0,2
Berkmar HS,0,0,0,0
Berkmar MS,10,0,3,13
Bethesda ES,0,0,0,0
Britt ES,2,1,0,3
Brookwood ES,26,1,0,27
Brookwood HS,13,1,0,14
Buice Center,0,0,0,0
Burnette ES,1,0,3,4
Camp Creek ES,2,0,0,2
Cedar Hill ES,3,1,0,4
Centerville ES,2,0,1,3
Central Gwinnett HS,0,1,0,1
Chattahoochee ES,3,0,0,3
Chesney ES,18,4,0,22
Coleman MS,1,0,0,1
Collins Hill HS,9,1,0,10
Cooper ES,0,0,0,0
Corley ES,0,0,0,0
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,1,0,0,1
Crews MS,8,1,0,9
Dacula ES,3,0,1,4
Dacula HS,0,0,0,0
Dacula MS,2,3,2,7
Discovery HS,1,1,1,3
Duluth HS,5,2,2,9
Duluth MS,5,1,2,8
Duncan Creek ES,16,4,0,20
Dyer ES,24,0,3,27
Ferguson ES,4,0,0,4
Five Forks MS,1,0,0,1
Fort Daniel ES,12,1,0,13
Freeman's Mill ES,1,0,0,1
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,1,0,1,2
Graves ES,0,0,0,0
Grayson ES,3,0,0,3
Grayson HS,7,2,0,9
Gwin Oaks ES,1,0,0,1
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,21,1,0,22
Harmony ES,10,2,0,12
Harris ES,1,1,1,3
Head ES,0,0,0,0
Hopkins ES,7,1,0,8
Hull MS,0,0,2,2
International Transition Center,0,0,0,0
Ivy Creek ES,0,0,0,0
Jackson ES,0,1,0,1
Jenkins ES,0,0,0,0
Jones MS,20,1,1,22
Jordan MS,2,0,0,2
Kanoheda ES,2,0,0,2
Knight ES,2,0,2,4
Lanier HS,4,1,2,7
Lanier MS,8,0,0,8
Lawrenceville ES,1,0,3,4
Level Creek ES,37,6,0,43
Lilburn ES,1,1,0,2
Lilburn MS,0,0,0,0
Lovin ES,0,0,0,0
Magill ES,1,0,0,1
Mason ES,1,0,0,1
Maxwell,0,0,0,0
McClure Health Science HS,3,0,0,3
McConnell MS,0,1,0,1
McKendree ES,0,0,0,0
Meadowcreek ES,1,3,0,4
Meadowcreek HS,26,1,7,34
Mill Creek HS,42,3,0,45
Minor ES,0,0,1,1
Moore MS,0,0,0,0
Mountain Park ES,0,0,0,0
Mountain View HS,15,1,1,17
Mulberry ES,3,0,0,3
Nesbit ES,4,1,2,7
Norcross ES,2,0,1,3
Norcross HS,3,0,0,3
North Gwinnett HS,0,0,1,1
North Gwinnett MS,2,1,0,3
Northbrook MS,0,0,0,0
Norton ES,0,0,0,0
Oakland Meadow School,0,0,0,0
Osborne MS,6,1,0,7
Parkview HS,10,1,5,16
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,0,0,0,0
Peachtree ES,2,0,0,2
Peachtree Ridge HS,0,1,0,1
Pharr ES,3,1,0,4
Phoenix HS,0,0,0,0
Pinckneyville MS,1,3,1,5
Puckett's Mill ES,3,0,1,4
Radloff MS,0,0,0,0
Richards MS,4,1,1,6
Riverside ES,4,1,0,5
Roberts ES,0,0,0,0
Rock Springs ES,1,0,0,1
Rockbridge ES,0,0,0,0
Rosebud ES,18,1,0,19
Shiloh ES,5,0,0,5
Shiloh HS,0,1,0,1
Shiloh MS,1,1,1,3
Simonton ES,13,1,2,16
Simpson ES,2,0,0,2
Snellville MS,0,0,0,0
South Gwinnett HS,1,1,1,3
Starling ES,3,1,0,4
Stripling ES,2,0,3,5
Sugar Hill ES,2,0,0,2
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,0,0,0,0
Sycamore ES,9,1,0,10
Taylor ES,5,1,0,6
Trickum MS,2,0,0,2
Trip ES,1,0,0,1
Twin Rivers MS,2,0,0,2
Walnut Grove ES,0,1,0,1
White Oak ES,16,1,2,19
Winn Holt ES,1,0,0,1
Woodward Mill ES,2,1,0,3
