School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,0,1,0,1
Arcado ES,10,0,2,12
Baldwin ES,0,0,1,1
Bay Creek MS,1,0,1,2
Berkmar MS,8,0,1,9
Britt ES,2,1,0,3
Camp Creek ES,1,0,0,1
Centerville ES,2,0,1,3
Chesney ES,17,2,0,19
Coleman MS,1,0,0,1
Collins Hill HS,1,0,0,1
Creekland MS,1,0,0,1
Crews MS,7,1,0,8
Duluth HS,2,1,0,3
Duluth MS,1,1,1,3
Duncan Creek ES,13,1,0,14
Grayson HS,4,1,0,5
Harris ES,1,1,1,3
Hopkins ES,1,0,0,1
Jones MS,1,0,0,1
Lanier HS,2,0,2,4
Lawrenceville ES,0,0,3,3
Level Creek ES,0,3,0,3
Mason ES,1,0,0,1
McConnell MS,0,1,0,1
Meadowcreek ES,0,1,0,1
Meadowcreek HS,1,1,0,2
Mill Creek HS,17,1,0,18
Mountain View HS,2,0,0,2
Nesbit ES,2,0,0,2
Norcross ES,2,0,0,2
Norcross HS,2,0,0,2
Osborne MS,1,0,0,1
Parkview HS,8,1,1,10
Peachtree ES,2,0,0,2
Pinckneyville MS,0,1,1,2
Puckett's Mill ES,0,0,1,1
Rosebud ES,16,1,0,17
Simonton ES,10,1,1,12
Starling ES,1,1,0,2
Stripling ES,0,0,1,1
Taylor ES,4,1,0,5
Trip ES,1,0,0,1
Walnut Grove ES,0,1,0,1
White Oak ES,14,1,0,15
