School,Close Contact,Positive Case,Suspected Case,Total
Anderson-Livsey ES,1,0,0,1
Archer HS,2,0,0,2
Bay Creek MS,3,1,1,5
Beaver Ridge ES,2,0,0,2
Berkmar MS,1,0,0,1
Brookwood ES,1,0,0,1
Brookwood HS,20,3,0,23
Chattahoochee ES,1,0,1,2
Collins Hill HS,1,0,0,1
Cooper ES,13,1,1,15
Crews MS,2,0,0,2
Dacula HS,0,1,0,1
Duluth HS,1,0,0,1
Duncan Creek ES,13,1,0,14
Ferguson ES,0,1,0,1
Harmony ES,1,0,0,1
Hull MS,1,0,0,1
Ivy Creek ES,1,0,0,1
Lanier HS,1,0,0,1
Mill Creek HS,37,2,0,39
Mulberry ES,0,1,0,1
Norcross ES,0,0,1,1
North Gwinnett HS,1,1,0,2
North Gwinnett MS,6,0,0,6
Osborne MS,1,0,0,1
Partee ES,1,0,0,1
Paul Duke STEM HS,2,0,0,2
Pinckneyville MS,5,0,0,5
Puckett's Mill ES,1,0,0,1
Shiloh MS,2,1,2,5
Simonton ES,1,0,0,1
Simpson ES,2,0,0,2
Stripling ES,0,2,0,2
Winn Holt ES,0,0,1,1
