School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,2,0,0,2
Archer HS,8,1,0,9
Beaver Ridge ES,1,0,0,1
Brookwood HS,1,0,0,1
Cedar Hill ES,1,0,0,1
Chattahoochee ES,1,0,0,1
Chesney ES,1,0,0,1
Collins Hill HS,0,1,0,1
Couch MS,1,1,0,2
Duluth MS,0,0,1,1
Duncan Creek ES,17,1,0,18
Dyer ES,0,0,1,1
Ferguson ES,4,2,0,6
Freeman's Mill ES,1,0,0,1
Grace Snell MS,1,1,0,2
Graves ES,2,0,0,2
Grayson HS,7,1,0,8
Ivy Creek ES,1,1,0,2
Jackson ES,4,1,1,6
Level Creek ES,0,1,0,1
Meadowcreek HS,0,1,0,1
Mill Creek HS,11,1,0,12
Nesbit ES,6,1,0,7
Norcross HS,3,0,0,3
Osborne MS,1,0,0,1
Peachtree ES,0,0,1,1
Pinckneyville MS,2,0,1,3
Taylor ES,2,0,0,2
