School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,3,1,0,4
Alford ES,0,0,0,0
Anderson-Livsey ES,1,0,0,1
Annistown ES,0,0,0,0
Arcado ES,11,0,2,13
Archer HS,10,1,0,11
Baggett ES,0,0,0,0
Baldwin ES,0,0,1,1
Bay Creek MS,5,2,4,11
Beaver Ridge ES,3,0,0,3
Benefield ES,0,0,0,0
Berkeley Lake ES,1,0,0,1
Berkmar HS,2,0,0,2
Berkmar MS,14,0,4,18
Bethesda ES,0,0,0,0
Britt ES,27,1,0,28
Brookwood ES,27,1,0,28
Brookwood HS,23,4,0,27
Buice Center,0,0,0,0
Burnette ES,0,0,0,0
Camp Creek ES,1,0,0,1
Cedar Hill ES,1,0,0,1
Centerville ES,2,0,1,3
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,5,0,2,7
Chesney ES,18,2,0,20
Coleman MS,1,0,0,1
Collins Hill HS,3,1,0,4
Cooper ES,13,1,1,15
Corley ES,0,0,0,0
Couch MS,1,1,0,2
Craig ES,0,0,0,0
Creekland MS,1,0,0,1
Crews MS,23,1,0,24
Dacula ES,2,0,1,3
Dacula HS,0,1,0,1
Dacula MS,2,0,0,2
Discovery HS,1,0,1,2
Duluth HS,5,0,0,5
Duluth MS,4,1,3,8
Duncan Creek ES,46,4,0,50
Dyer ES,20,0,3,23
Ferguson ES,8,3,0,11
Five Forks MS,1,0,0,1
Fort Daniel ES,0,1,0,1
Freeman's Mill ES,1,0,0,1
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,5,1,1,7
Graves ES,2,0,0,2
Grayson ES,0,0,0,0
Grayson HS,15,3,0,18
Gwin Oaks ES,1,0,0,1
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,21,1,0,22
Harmony ES,8,0,0,8
Harris ES,1,1,1,3
Head ES,1,0,0,1
Hopkins ES,1,1,0,2
Hull MS,1,0,2,3
International Transition Center,0,0,0,0
Ivy Creek ES,2,1,0,3
Jackson ES,4,1,1,6
Jenkins ES,0,0,0,0
Jones MS,3,2,0,5
Jordan MS,2,0,0,2
Kanoheda ES,0,0,0,0
Knight ES,7,0,1,8
Lanier HS,3,0,2,5
Lanier MS,7,0,0,7
Lawrenceville ES,0,0,3,3
Level Creek ES,9,3,0,12
Lilburn ES,0,0,0,0
Lilburn MS,0,0,0,0
Lovin ES,0,0,0,0
Magill ES,1,0,0,1
Mason ES,1,0,0,1
Maxwell,0,0,0,0
McClure Health Science HS,3,0,0,3
McConnell MS,0,1,0,1
McKendree ES,0,0,0,0
Meadowcreek ES,1,3,0,4
Meadowcreek HS,12,2,8,22
Mill Creek HS,92,4,0,96
Minor ES,0,0,0,0
Moore MS,1,0,0,1
Mountain Park ES,1,0,0,1
Mountain View HS,4,1,1,6
Mulberry ES,3,1,0,4
Nesbit ES,10,1,1,12
Norcross ES,2,0,1,3
Norcross HS,5,0,0,5
North Gwinnett HS,4,1,1,6
North Gwinnett MS,7,1,0,8
Northbrook MS,4,1,0,5
Norton ES,0,0,0,0
Oakland Meadow School,1,0,0,1
Osborne MS,5,1,0,6
Parkview HS,9,1,3,13
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,2,0,0,2
Peachtree ES,2,0,1,3
Peachtree Ridge HS,0,0,0,0
Pharr ES,3,1,0,4
Phoenix HS,0,0,0,0
Pinckneyville MS,8,2,2,12
Puckett's Mill ES,3,0,1,4
Radloff MS,0,0,0,0
Richards MS,1,0,1,2
Riverside ES,21,1,1,23
Roberts ES,0,0,0,0
Rock Springs ES,1,0,0,1
Rockbridge ES,0,0,0,0
Rosebud ES,18,1,0,19
Shiloh ES,5,0,0,5
Shiloh HS,1,1,0,2
Shiloh MS,3,2,2,7
Simonton ES,13,1,2,16
Simpson ES,2,0,0,2
Snellville MS,0,0,0,0
South Gwinnett HS,2,0,1,3
Starling ES,3,1,0,4
Stripling ES,2,2,3,7
Sugar Hill ES,1,0,0,1
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,1,0,0,1
Sycamore ES,10,1,0,11
Taylor ES,3,1,0,4
Trickum MS,1,0,0,1
Trip ES,1,0,0,1
Twin Rivers MS,1,0,0,1
Walnut Grove ES,9,2,0,11
White Oak ES,30,1,1,32
Winn Holt ES,2,0,1,3
Woodward Mill ES,2,1,0,3
