School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,2,1,0,3
Alford ES,1,1,0,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,1,0,1,2
Archer HS,10,1,0,11
Baggett ES,0,0,0,0
Baldwin ES,0,0,1,1
Bay Creek MS,4,1,1,6
Beaver Ridge ES,3,0,0,3
Benefield ES,0,0,0,0
Berkeley Lake ES,1,0,0,1
Berkmar HS,2,0,0,2
Berkmar MS,5,0,1,6
Bethesda ES,0,0,0,0
Britt ES,29,1,0,30
Brookwood ES,1,1,0,2
Brookwood HS,2,1,0,3
Buice Center,0,0,0,0
Burnette ES,0,2,0,2
Camp Creek ES,7,0,1,8
Cedar Hill ES,2,0,0,2
Centerville ES,0,0,0,0
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,5,0,2,7
Chesney ES,1,2,0,3
Coleman MS,1,0,0,1
Collins Hill HS,2,1,0,3
Cooper ES,13,1,1,15
Corley ES,0,0,0,0
Couch MS,1,1,0,2
Craig ES,0,0,0,0
Creekland MS,0,0,0,0
Crews MS,15,1,0,16
Dacula ES,4,1,0,5
Dacula HS,2,1,0,3
Dacula MS,1,0,0,1
Discovery HS,0,0,0,0
Duluth HS,0,0,0,0
Duluth MS,0,1,3,4
Duncan Creek ES,53,5,0,58
Dyer ES,2,0,2,4
Ferguson ES,4,3,0,7
Five Forks MS,0,0,0,0
Fort Daniel ES,0,0,0,0
Freeman's Mill ES,2,0,0,2
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,4,1,0,5
Graves ES,4,0,0,4
Grayson ES,0,0,0,0
Grayson HS,13,3,0,16
Gwin Oaks ES,2,0,0,2
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,6,2,0,8
Harmony ES,5,0,1,6
Harris ES,1,0,1,2
Head ES,0,0,0,0
Hopkins ES,2,0,0,2
Hull MS,0,0,0,0
International Transition Center,0,0,0,0
Ivy Creek ES,2,1,1,4
Jackson ES,4,1,0,5
Jenkins ES,0,0,0,0
Jones MS,39,2,0,41
Jordan MS,1,0,0,1
Kanoheda ES,0,0,0,0
Knight ES,0,0,0,0
Lanier HS,3,0,1,4
Lanier MS,1,0,0,1
Lawrenceville ES,0,0,3,3
Level Creek ES,0,1,0,1
Lilburn ES,0,0,0,0
Lilburn MS,0,0,0,0
Lovin ES,1,0,0,1
Magill ES,0,0,0,0
Mason ES,1,0,0,1
Maxwell,0,0,0,0
McClure Health Science HS,1,1,1,3
McConnell MS,1,1,0,2
McKendree ES,27,1,0,28
Meadowcreek ES,0,0,1,1
Meadowcreek HS,0,1,2,3
Mill Creek HS,33,5,0,38
Minor ES,7,0,1,8
Moore MS,2,0,0,2
Mountain Park ES,1,0,0,1
Mountain View HS,3,1,1,5
Mulberry ES,1,2,0,3
Nesbit ES,7,1,0,8
Norcross ES,2,0,1,3
Norcross HS,9,1,3,13
North Gwinnett HS,1,1,1,3
North Gwinnett MS,1,0,0,1
Northbrook MS,4,1,0,5
Norton ES,0,0,0,0
Oakland Meadow School,1,0,1,2
Osborne MS,35,2,0,37
Parkview HS,4,1,2,7
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,3,0,0,3
Paul Duke STEM HS,7,1,0,8
Peachtree ES,1,0,1,2
Peachtree Ridge HS,0,0,0,0
Pharr ES,0,0,0,0
Phoenix HS,0,0,0,0
Pinckneyville MS,10,0,2,12
Puckett's Mill ES,2,0,1,3
Radloff MS,14,1,0,15
Richards MS,2,0,0,2
Riverside ES,19,1,1,21
Roberts ES,4,1,0,5
Rock Springs ES,26,1,0,27
Rockbridge ES,0,0,0,0
Rosebud ES,1,1,0,2
Shiloh ES,3,0,0,3
Shiloh HS,0,0,0,0
Shiloh MS,2,2,0,4
Simonton ES,2,0,1,3
Simpson ES,2,0,0,2
Snellville MS,0,0,0,0
South Gwinnett HS,1,0,0,1
Starling ES,0,0,0,0
Stripling ES,2,2,2,6
Sugar Hill ES,0,0,0,0
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,0,1,0,1
Sycamore ES,1,0,0,1
Taylor ES,2,0,0,2
Trickum MS,2,0,0,2
Trip ES,1,0,0,1
Twin Rivers MS,0,0,0,0
Walnut Grove ES,9,3,0,12
White Oak ES,19,1,1,21
Winn Holt ES,1,1,0,2
Woodward Mill ES,0,1,0,1
