School,Close Contact,Positive Case,Suspected Case,Total
Baldwin ES,2,0,0,2
Bay Creek MS,2,0,0,2
Berkeley Lake ES,1,0,0,1
Brookwood HS,22,3,0,25
Burnette ES,1,0,1,2
Crews MS,0,1,0,1
Duluth MS,2,1,1,4
"Gwinnett School of Mathematics, Science, and Technology",1,0,0,1
Harbins ES,11,1,0,12
Hopkins ES,0,0,1,1
Jones MS,1,0,0,1
McConnell MS,2,0,0,2
McKendree ES,1,0,0,1
Meadowcreek ES,1,0,0,1
Mill Creek HS,1,0,0,1
Minor ES,1,0,0,1
Mountain Park ES,2,0,0,2
Norcross ES,0,0,1,1
Norcross HS,0,3,0,3
North Gwinnett HS,9,1,1,11
Norton ES,1,0,0,1
Osborne MS,1,0,0,1
Parkview HS,1,0,0,1
Paul Duke STEM HS,4,1,0,5
Pinckneyville MS,1,0,0,1
Richards MS,10,1,0,11
Rock Springs ES,1,0,0,1
Rosebud ES,1,0,0,1
Summerour MS,0,1,0,1
Winn Holt ES,4,1,1,6
Woodward Mill ES,3,0,0,3
